Ayshagúl,"1) Muxammed payǵambardıń hayalınday mártebeli qız bolsın dep qoyılǵan ismler; 2) ayday sulıw qız bolsın dep qoyılǵan ismler."
Ayshaxan,"1) Muxammed payǵambardıń hayalınday mártebeli qız bolsın dep qoyılǵan ismler; 2) ayday sulıw qız bolsın dep qoyılǵan ismler."
Aysheker,"ayday sulıw, shekerdey shiyrin, súykimli, qádirli qız bolsın dep qoyılǵan ism."
Aysholpan,"1) ay hám Sholpan juldızınday jarqırap, nurlı bolsın dep qoyılǵan ism; 2) ay shıǵıp, tań juldızı kórinip turǵan payıtta tuwılǵanı ushın qoyılǵan ism."
Ayshınar,"shınar terektey kóp jasasın, uzın boylı, shıraylı qız bolsın dep qoyılǵan ism."
Ayım,"ayday sulıw qız bolsın qoyılǵan ismler."
Ayımbiybi,"ayday sulıw qız bolsın qoyılǵan ismler."
Ayımbiyke,"ayday sulıw qız bolsın qoyılǵan ismler."
Ayımbet,"aylı túnde tuwılǵanı ushın qoyılǵan ism."
Ayımgúl,"ayday sulıw, gúldey shıraylı qız bolsın dep qoyılǵan ism."
Ayımjamal,"ayday shıraylı, sımbatlı qız bolsın dep qoyılǵan ismler."
Ayımsulıw,"ayday shıraylı, sımbatlı qız bolsın dep qoyılǵan ismler."
Ayımjan,"1) ayday sulıw, janday áziyz qız bolsın dep qoyılǵan ism; 2) aylı túnde tuwılǵanı ushın qoyılǵan ism."
Ayımpatsha,"shıraylı hám mártebeli qız bolsın dep qoyılǵan ismler."
Ayımpashsha,"shıraylı hám mártebeli qız bolsın dep qoyılǵan ismler."
Ayımxan,"1) ay júzli shıraylı qız bolsın dep qoyılǵan ism; 2) SSSR xalıq artisti, Ózbekstan hám Qaraqalpaqstan xalıq artisti Ayımxan Shamuratovaday (1917 — 1993) ataqlı insan bolsın degen niyet te qoyılǵan ism."
Aqbiybi,"aq júzli shıraylı qız bolsın dep qoyılǵan ismler."
Aqbiyke,"aq júzli shıraylı qız bolsın dep qoyılǵan ismler."
Aqgúl,"aq júzli shıraylı qız bolsın dep qoyılǵan ismler."
Aqqız,"aq júzli shıraylı qız bolsın dep qoyılǵan ismler."
Aqgúmis,"shıraylı hám gúmistey qádirli, áziyz qız bolsın dep qoyılǵan ism."
Aqdáwlet,"shıraylı hám ırısqı-nesiybeli, dáwletli qız bolsın dep qoyılǵan ism."
Aqjan,"aq kewil, hadal, taza insan bolsın dep qoyılǵan ism."
Aqziyra,"appaq shıraylı qız bolsın dep qoyılǵan ism."
Aqlıyma,"aqıllı, esli, zeyinli qız bolsın dep qoyılǵan ism."
Aqmaral,"maralday sulıw qız bolsın dep qoyılǵan ism."
Aqmarjan,"marjanday qádirli, áziyz qız bolsın dep qoyılǵan ism."
Aqnazar,"1) Allanıń názeri, mehiri túsip, bizge perzent berdi dep qoyılǵan ism; 2) Allanıń (Haqtıń) názeri, mehiri túsip júrsin dep qoyılǵan ism."
Aqpolat,"polattay bekkem, mıqlı, qarıwlı, shıdamlı jigit bolsın dep qoyılǵan ism."
Aqsáwle,"júzi aydıń nurı sıyaqlı jarqın bolıp júrsin, shıraylı qız bolsın dep qoyılǵan ism."
Aqsulıw,"aq júzli shıraylı qız bolsın dep qoyılǵan ism."
Aqsıńgúl,"1) kewili haq, gúldey sulıw qız bolsın dep qoyılǵan ism; 2) ómir jolı aq, suwday tınıq bolsın dep qoyılǵan ism; 3) qaraqalpaq xalıq shayırı Jańabay Qaratay ulınıń (1890 — 1926) «Aqsúńgúl» atlı qosıǵına baylanıslı qoyılǵan ism; 4) qazayaqlı urıwınıń qızı bolǵanı ushın qoyılǵan ism; 5) urıwı qazayaqlı dayıları tárepinen qoyılǵan ism."
Aqshabiyke,"1) shıraylı qız bolsın dep qoyılǵan ism; 2) aqshası kóp, dáwletli qız bolsın dep qoyılǵan ism; 3) aqsha qar jawǵan kúni tuwılǵanı ushın qoyılǵan ism."
Aqshagúl,"1) appaq shıraylı qız bolsın dep qoyılǵan ism; 2) aqsha qar jawıp turǵan payıtta tuwılǵanı ushın qoyılǵan ism; 3) qaltası bárqulla aqshaǵa tolı bolıp júrsin, bay, dáwletli qız bolsın dep qoyılǵan ism; 4) usı qız tuwılǵan kúni birew aynanıń aldına gúl menen aqsha qoyıp ketkeni ushın qoyılǵan ism; 5) kempir apası aqshagúldi jaqsı kórgeni ushın qoyılǵan ism."
Aqsholpan,"shıraylı qız bolsın, tań juldızı Sholpanday jarqırap júrsin dep qoyılǵan ism."
Aqılaya,"aqıllı, esli, sanalı qız bolsın dep qoyılǵan ismler."
Aqılbiyke,"aqıllı, esli, sanalı qız bolsın dep qoyılǵan ismler."
Aqılbay,"aqıllı, bilimli, zeyinli bala bolsın dep qoyılǵan ismler."
Aqılbek,"aqıllı, bilimli, zeyinli bala bolsın dep qoyılǵan ismler."
Aqılbergen,"aqıllı, bilimli, zeyinli bala bolsın dep qoyılǵan ismler."
Aqıljan,"aqıllı, bilimli, zeyinli bala bolsın dep qoyılǵan ismler."
Allabay,"«Alla bizge ul perzent berdi» dep qoyılǵan ismler."
Allabek,"«Alla bizge ul perzent berdi» dep qoyılǵan ismler."
Allambay,"«Alla bizge ul perzent berdi» dep qoyılǵan ismler."
Allambek,"«Alla bizge ul perzent berdi» dep qoyılǵan ismler."
Allabergen,"«Alla bizge perzent berdi» dep qoyılǵan ismler."
Allaberdi,"«Alla bizge perzent berdi» dep qoyılǵan ismler."
Allambergen,"«Alla bizge perzent berdi» dep qoyılǵan ismler."
Allamberdi,"«Alla bizge perzent berdi» dep qoyılǵan ismler."
Allaquwat,"Alla bizge perzent inam etti, quwat berdi dep qoyılǵan ism."
Allamatdin,"Alla bizge perzent berdi, inam etti dep qoyılǵan ism."
Allamjar,"«Alla jarılqap, bizge perzent berdi» dep qoyılǵan ism."
Allamurat,"1) «Allanıń ózi murat-maqsetimizge jetkerdi» dep qoyılǵan ism; 2) Allanıń ózi balanı murat-maqsetine jetkersin dep qoyılǵan ism."
Allanazar,"1) «Allanıń názeri, mehiri túsip, bizge perzent berdi» dep qoyılǵan ism; 2) «Allanıń názeri, mehiri túsip, qollap júrsin» degen tilek penen qoyılǵan ism."
Allaniyaz,"1) «Alladan tilenip, soranıp alǵan bala» degen mánide qoyılǵan ism; 2) Alla yar bolsın dep qoyılǵan ism; 3) Ózbekstan Qaharmanı, Ózbekstan xalıq muǵallimi Allaniyaz Óteniyazovtay (1937 – 2006) miynetkesh adam bolsın dep qoyılǵan ism."
Allashúkir,"usı balanı bergeni, inam etkeni ushın Allaǵa shúkirlik etemiz dep qoyılǵan ism."
Allayar,"1) Alla qollap, yar bolıp júrsin degen tilek penen qoyılǵan ism; 2) mámleketlik ǵayratker Allayar Dosnazarovtay (1896 – 1937) elge belgili insan bolsın degen tilekte qoyılǵan ism; 3) «Alla yar boldı, aman janım qaldı», — dep anası qoyǵan ism."
Allayarkeldi,"Alla yar bolıp, ul bala tuwıldı dep qoyılǵan ism."
Almabiyke,"1) alma terekleri gúllep atırǵan payıtta tuwılǵanı ushın qoyılǵan ism; 2) almanıń gúlindey sulıw qız bolsın dep qoyılǵan ism; 3) almalar pisken waqıtta tuwılǵanı ushın qoyılǵan ism; 4) almaday sulıw qız bolsın dep qoyılǵan ism."
Almagúl,"1) almanıń gúlindey shıraylı qız bolsın dep qoyılǵan ism; 2) alma terekleri gúllegen payıtta tuwılǵanı ushın qoyılǵan ism; 3) almalar pisken waqıtta tuwılǵanı ushın qoyılǵan ism; 4) «qızımdı alma, tiyme, ólmesin, jasasın» dep qoyılǵan ism; 5) anası usı qızǵa eki qabat waqtında almaǵa jerik bolǵanı ushın qoyılǵan ism; 6) Alma-Ata qalasında tuwılǵanı ushın qoyılǵan ism; 7) atası Alma-Atada saparda júrgende tuwılǵan qızǵa qoyılǵan ism."
Almaǵanbet,"Allam maǵan perzent berdi, inam etti dep qoyılǵan ism."
Almaz,"almazday bekkem hám qımbatlı bolsın dep qoyılǵan ism."
Almasbay,"sózleri almastay keskir, ótkir hám bekkem jigit bolsın dep qoyılǵan ismler."
Almasbek,"sózleri almastay keskir, ótkir hám bekkem jigit bolsın dep qoyılǵan ismler."
Almaxan,"1) alma terekleri gúllegen payıtta tuwılǵanı ushın qoyılǵan ism; 2) anası usı qızǵa eki qabat waqtında almaǵa jerik bolǵanı ushın qoyılǵan ism; 3) atasınıń alma baǵı bolǵanı ushın qoyılǵan ism; 4) almaǵa uqsaǵan jumalaq sulıw qız bolsın dep qoyılǵan ism; 5) almaxanday (tıyınday) sulıw qız bolsın dep qoyılǵan ism; 6) almaxannıń (tıyınnıń) tisindey ótkir hám bekkem qız bolsın dep qoyılǵan ism."
Alpamıs,"1) «Alpamıs» dástanındaǵı Alpamıstay batır, dáwjúrek, elge belgili jigit bolsın dep qoyılǵan ism; 2) iri bolıp tuwılǵanı ushın qoyılǵan ism."
Alpısbay,"1) ákesi alpıs jasqa shıqqanda tuwılǵan balaǵa qoyılǵan ism; 2) atası alpıs jasqa shıqqanda tuwılǵan balaǵa qoyılǵan ism; 3) kempir apası alpıs jasqa shıqqanda tuwılǵan balaǵa qoyılǵan ism; 4) jası alpıstan ótsin degen tilek penen qoyılǵan ism; 5) 1960-jılı tuwılǵanı ushın qoyılǵan ism."
Altıbay,"qolı yamasa ayaǵındaǵı barmaqları altaw bolıp tuwılǵanı ushın qoyılǵan ism."
Altın,"altınday qádirli, áziyz qız bolsın dep qoyılǵan ism."
Altınay,"1) altınday qádirli, áziyz hám ayday sulıw qız bolsın dep qoyılǵan ism; 2) bay-dáwletli qız bolsın dep qoyılǵan ism; 3) sarı qız bolıp tuwılǵanı ushın qoyılǵan ism; 4) gúzde tuwılǵanı ushın qoyılǵan ism; 5) altınday salmaqlı hám sımbatlı qız bolsın dep qoyılǵan ism."
Altınbay,"altınday qádirli, áziyz adam bolsın dep qoyılǵan ismler."
Altınbek,"altınday qádirli, áziyz adam bolsın dep qoyılǵan ismler."
Altınbiybi,"altınday qádirli, áziyz qız bolsın dep qoyılǵan ismler."
Altınbiyke,"altınday qádirli, áziyz qız bolsın dep qoyılǵan ismler."
